;2001;2002;2003;2006;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2020;2021;2023
rock;39.16666666666666;40.83333333333333;38.291666666666664;38.333333333333336;51.25;53.75;54.58333333333334;53.75000000000001;50.00000000000001;50.00000000000001;52.50000000000001;50.41666666666668;51.250000000000014;44.583333333333336;42.91666666666666;40.41666666666666;34.16666666666666
pop;15.833333333333337;5.416666666666667;3.3333333333333335;12.083333333333334;11.250000000000002;11.250000000000002;8.75;10.416666666666668;10.416666666666668;10.416666666666666;10.416666666666666;10.0;10.833333333333334;13.333333333333334;10.833333333333332;12.916666666666666;15.0
regional music;4.916666666666667;8.416666666666666;4.25;3.1250000000000004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
hip hop;3.9583333333333335;0.0;4.166666666666667;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;8.5;8.5;8.5
electronic;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.916666666666667;2.916666666666667;0.0;2.916666666666667;2.916666666666667
metal;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;3.75;0.0;0.0;0.0;0.0;0.0;0.0
folk;3.75;10.833333333333334;13.75;6.875;8.75;8.75;8.75;6.25;6.875;6.875;6.875;6.875;4.375;4.375;4.375;4.375;3.125
singer/songwriter;0.0;0.0;3.3333333333333335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
other;7.375;3.5;6.625;4.166666666666667;8.75;8.75;10.416666666666668;9.583333333333334;12.708333333333334;12.708333333333334;11.458333333333334;12.5;10.416666666666668;8.583333333333334;11.5;10.666666666666668;7.375
jazz;0.0;6.25;13.75;12.083333333333334;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;6.25;6.25;6.25
r&b;0.0;4.666666666666667;0.0;3.3333333333333335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.624999999999999
ambient;0.0;2.5833333333333335;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7083333333333335;2.7083333333333335;2.7083333333333335;3.125;3.9583333333333335;3.125
experimental;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.916666666666667
blues;0.0;0.0;2.5;2.5;2.5;2.5;2.5;2.5;2.5;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
